id,text,corrected,word,tag
182,"Ожидаемые результаты В входе исследования будет рассмотрено значительное количество аспектов, касательно данной проблемы, будут оценены на примере современной Российской Федерации различные методики их влияние Кроме того выявить критерии наиболее оптимальной методики или несколько для нашей страны.","Ожидаемые результаты:  в ходе исследования будет рассмотрено значительное количество аспектов касательно данной проблемы, будут оценены на примере современной Российской Федерации различные методики их влияния. Кроме того, выявить критерии наиболее оптимальной методики или несколько для нашей страны.",входе,"deriv, paron, cause, typo"
183,"Природа денег весьма могущественна и в то же время слабосильная Деньги могут привести ко всякой материальной цели, однако не заменят человека у кормила Они являются следствием, но причина – всегда человек.","Природа денег весьма могущественна и в то же время слаба. Деньги могут привести ко всякой материальной цели, однако не заменят человеку кормильца. Они являются следствием, но причина – всегда человек.",слабосильная,"infl, coord, dis_coord"
184,"Ключевыми практическими задачами работы является сбор данных для анализа и интерпретации в российской компании « Виталенд », применение теоритических знаний для нахождение возможных несоответствий между фактическим и необходимым стилем лидерства, а также формулирование рекомендаций для улучшения взаимодействия между руководителем и подчиненным.","Ключевыми практическими задачами работы являются сбор данных для анализа и интерпретации в российской компании «Виталенд», применение теоретических знаний для нахождения возможных несоответствий между фактическим и необходимым стилем лидерства, а также формулирование рекомендаций для улучшения взаимодействия между руководителем и подчиненным.",нахождение,"infl, cause, typo"
185,"Методология исследования обусловлена необходимостью практического применения нашей модели и формулировке адекватных и эффективных рекомендаций Основными материалами и данными нашего исследования будут выступать ответы респондентов, а также дневники наблюдений исследователей.","Методология исследования обусловлена необходимостью практического применения нашей модели и формулировкой адекватных и эффективных рекомендаций. Основными материалами и данными нашего исследования будут выступать ответы респондентов, а также дневники наблюдений исследователей.",формулировке,gov
186,"Иными словами, данный инструмент анализа повысить продуктивность коллектива, что положительно скажется на конечном результате всей компании.","Иными словами, данный инструмент анализа повысит продуктивность коллектива, что положительно скажется на конечном результате всей компании.",повысить,"infl, lack"
187,"Эта совокупность наиболее подходящая, так как только топ менеджеры понимают всю систему управления полностью и точно Ожидаемый результат Планируется проверить гипотезы о том, что правильная система управления может значительно повисеть производительность компании.","Эта совокупность наиболее подходящая, так как только топ менеджеры понимают всю систему управления полностью и точно. Ожидаемый результат: планируется проверить гипотезу о том, что правильная система управления может значительно повлиять на производительность компании.",повисеть,"deriv, paron, cause, typo"
188,"На мой субъективный взгляд, женщина, которая говорит, что свадьба ей не нужна, она согласна жить со своим мужчиной вне брака, на самом деле опасается, что если она затребует этого от него, то он уйдет от нее, боясь обязательств, а вовсе не потому, что она современная и хочет быть свободной.","На мой субъективный взгляд, женщина, которая говорит, что свадьба ей не нужна и согласна жить со своим мужчиной вне брака, на самом деле опасается, что если она потребует это от него, то он уйдет от нее, боясь обязательств, а вовсе не потому, что она современная и хочет быть свободной.",затребует,deriv
189,"Актуальность проблемы: Актуальность моей курсовой работы заключается в том, что многие страны сегодня, в том числе и Россия, имеют необходимость пересмотреть свой подход к производству и к менеджменту, опираясь на примере более успешных в этих сферах стран.","Актуальность проблемы: актуальность моей курсовой работы заключается в том, что многие страны сегодня, в том числе и Россия, имеют необходимость пересмотреть свой подход к производству и к менеджменту с опорой на примеры более успешных в этих сферах стран.",примере,"infl, cause, typo"
190,"Даже самый сложный для понимания материал находит отражение в практической деятельности человека, тем самым создавая конкретные примеры, которые намного дольше хранятся в нашей памяти, так как ассоциируются с тем или иным действиями или явлениями Интерпретировать данные, и, даже, объяснить их неосведомленному в это области человеку невозможно, если мы их не понимаем.","Даже самый сложный для понимания материал находит отражение в практической деятельности человека, тем самым создаются конкретные примеры, которые намного дольше хранятся в нашей памяти, так как ассоциируются с тем или иным действием или явлением. Интерпретировать данные, и, даже, объяснить их неосведомленному в этой области человеку невозможно, если мы их не понимаем.",это,"agr, cause, typo"
191,"Но если задавать расисту ещё вопросы, которые выясняют что конкретно ему сделала плохого ненавидимая нация, то можно очень скоро увидеть что расист сам не понимает, почему он ненавидит ту или иную расу.","Но если задавать расисту ещё вопросы, которые выявляют, что конкретно ему сделала плохого ненавидимая нация, то можно очень скоро увидеть, что расист сам не понимает, почему он ненавидит ту или иную расу.",выясняют,"infl, lex, meton"
192,"Это, например,« чёрные » квартала Америки, некоторые регионы Кавказа, где русских не любят, другие страны и регионы земного шара.","Это, например, «чёрные» кварталы Америки, некоторые регионы Кавказа, где русских не любят, другие страны и регионы земного шара.",квартала,"infl, cause, typo"
193,"Все зависит от того, какую последовательность каких конфигурацией и в какой области кодируют пары версий этих частиц.","Все зависит от того, какую последовательность каких конфигураций и в какой области кодируют пары версий этих частиц.",конфигурацией,"gov, cause, typo"
194,"Но наиболее подходящим я бы назвала именно глагольные конструкции с СУР, так как они содержат в себе упомянутые ранее конструкции « контакта »,« доступа » и « плоскости раздела », однако эти конструкции никак не влияют на глагольное управление.","Но наиболее подходящими я бы назвала именно глагольные конструкции с СУР, так как они содержат в себе упомянутые ранее конструкции «контакта»,«доступа» и «плоскости раздела», однако эти конструкции никак не влияют на глагольное управление.",подходящим,"agr, lack"
195,"Кроме того, Д.Пайар отмечает невозможность совмещение этих сценариев, так как глагольный сценарий первичен и может быть реконструирован с помощью предложного сценария, но никак не наоборот.","Кроме того, Д. Пайар отмечает невозможность совмещения этих сценариев, так как глагольный сценарий первичен и может быть реконструирован с помощью предложного сценария, но никак не наоборот.",совмещение,"gov, cause, typo"
196,"Существует большое количество семантический вариаций глаголов и предлога СУР, однако главную роль в них играет сам предлог, так как значение формируется независимо от семантики самого глагола.","Существует большое количество семантических вариаций глаголов и предлога СУР, однако главную роль в них играет сам предлог, так как значение формируется независимо от семантики самого глагола.",семантический,"gov, cause, typo"
197,"Предлагаю совершить совместную поездку в Санкт-Петербург с целью получения новых эмоций и впечатлений а также для более слаженного обучения и общения в нашей группе, ну и, возможно, для дальнейших поездок в различные города и даже другие страны.","Предлагаю совершить совместную поездку в Санкт-Петербург с целью получения новых эмоций и впечатлений, а также для более слаженного обучения и общения в нашей группе, ну и, возможно, для дальнейших поездок в разные города и даже другие страны.",различные,"deriv, paron"
198,"Автор приводит очень тонкие примеры, такие как « подстрелить зайца»/«выстрелить в зайца »: во втором случае предлог СУР лишает нас итога ситуации ( непонятно, убит ли заяц), но расширяет список возможных « мишеней »(« выстрелил в медведя/фазана/толпу/лингвиста »);« дернуть шнурок/дернуть за шнурок »: как и в предыдущем примере увеличивается спектр преследуемой цели (« дернуть за веревку/ рычаг/волосы »), а также ничто не указывает на достижении цели, может быть описано простое усиление ( переход от результативного значения к значению события).","Автор приводит очень тонкие примеры, такие как «подстрелить зайца»/«выстрелить в зайца»: во втором случае предлог СУР лишает нас итога ситуации (непонятно, убит ли заяц), но расширяет список возможных «мишеней» («выстрелил в медведя/фазана/толпу/лингвиста»); «дернуть шнурок/дернуть за шнурок»: как и в предыдущем примере увеличивается спектр преследуемой цели («дернуть за веревку/ рычаг/волосы»), а также ничто не указывает на достижение цели, может быть описано простое усиление (переход от результативного значения к значению события).",достижении,"infl, cause, typo"
199,"Опровергается полная антонимичность предикатов УП\ДОWН и ИН\ОУТ. Приводятся выведенные на основе сравнений условия, при которых значений предикатов будут противопоставлены, данные условия распространяются не только внутри одной пары, но и при пересечении значений некоторых элементов из разных пар.","Опровергается полная антонимия предикатов УП\ДОWН и ИН\ОУТ. Приводятся выведенные на основе сравнений условия, при которых значения предикатов будут противопоставлены, данные условия распространяются не только внутри одной пары, но и при пересечении значений некоторых элементов из разных пар.",значений,"infl, cause, typo"
200,"Актуальность темы определена тем, что, прежде всего от работников предприятия зависит работоспособность и эффективность компании, от слаженности действие сотрудников зависит и успех всех операций проводимых на предприятии.","Актуальность темы определена тем, что прежде всего от работников предприятия зависит работоспособность и эффективность компании, от слаженности действий сотрудников зависит и успех всех операций проводимых на предприятии.",действие,"infl, lex, phrase"
201,"Цели и задачи Цель данной курсовой работы заключается в исследовании специфики менеджмента современных российских компаний, а также анализ компаний ОАО « Радар ммс » ОАО « Медвежьи сладости » и Х5 РетаилГроуп и разработка рекомендаций управления для данных организации.","Цели и задачи. Цель данной курсовой работы заключается в исследовании специфики менеджмента современных российских компаний, а также в анализе компаний ОАО «Радар ммс», ОАО «Медвежьи сладости» и «Х5 РетаилГроуп» и в разработке рекомендаций управления данными организациями.",разработка,"infl, gov"
202,"В современном понятии менеджмента подразумевается координация действий различных видов работы с учетом целей данной работы, с учетом ресурсов, требуемых и имеющихся, и условия при которых данная работа должна быть выполнена.","В современном понимании менеджмента подразумевается координация действий различных видов работы с учетом целей данной работы, с учетом ресурсов, требуемых и имеющихся, и условий, при которых данная работа должна быть выполнена.",условия,"infl, gov"
203,"Данная сфера поднимается все выше, раньше линейные руководители могли заниматься данной деятельностью, но в современное же время появляются специальный штаб в структуре организации контролирующий этот вид деятельности.","Данная сфера поднимается все выше, раньше линейные руководители могли заниматься данной деятельностью, но в современное же время появляется специальный штаб в структуре организации, контролирующий этот вид деятельности.",появляются,"agr, cause, typo"
204,"В современных реалиях, когда существует большое разнообразие различных концепций, претендующих на право называться результативными человек, неискушенный в теоретических обоснованиях принципов управления, в первую очередь обратится к выводам знаменитых руководителей, чьи методы подтвердили свою действенность на практике.","В современных реалиях, когда существует большое разнообразие различных концепций, претендующих на право называться результативным, человек, неискушенный в теоретических основаниях принципов управления, в первую очередь обратится к выводам знаменитых руководителей, чьи методы подтвердили свою действенность на практике.",обоснованиях,"deriv, paron, lex, word"
205,"Были использованы интернет книжные источники, отбирала информацию по ключевым словам.","Были использованы интернет и книжные источники, информация отбиралась по ключевым словам.",отбирала,"infl, coord, styl"
206,Затраты на внедрения и экономический эффект от такого внедрения должны быть соизмеримы.,Затраты на внедрение и экономический эффект от такого внедрения должны быть соизмеримы.,внедрения,"infl, lack"
207,"Тогда люди чувствую боль, разочарование, иногда доходит и до суицида…А все из-за того, что они выбыли из борьбы за Деньги.","Тогда люди чувствуют боль, разочарование, иногда доходят и до суицида…А все из-за того, что они выбыли из борьбы за Деньги.",доходит,"agr, infl"
208,"Страны сформировали альянс для урегулирования проблем, оказывающих влияние на их многосторонние торговые отношения, и контролирования соблюдения договоренностей.","Страны сформировали альянс для урегулирования проблем, оказывающих влияние на их многосторонние торговые отношения, и контроля соблюдения договоренностей.",контролирования,"deriv, nmz"
209,"Все эксперты единогласны в том, что в долгосрочной перспективе фактор участия России в торговом клубе будет оказывать, несомненно, позитивное воздействие на рост экономики, способствую развитию торговли и инвестиций, стимулируя конкуренцию на внутреннем рынке, создавая отчетливые международно-правовые рамки для осуществления внутренней политики в сфере регулирования внешней торговли.","Все эксперты единогласны в том, что в долгосрочной перспективе фактор участия России в торговом клубе будет оказывать, несомненно, позитивное воздействие на рост экономики, способствовать развитию торговли и инвестиций, стимулируя конкуренцию на внутреннем рынке, создавая отчетливые международно-правовые рамки для осуществления внутренней политики в сфере регулирования внешней торговли.",способствую,"infl, cause, typo"
210,"Он говорит о том что студенты не понимают всей важности всестороннего развития и не хотят тратить время на то, что не пригодится вжизни Этот текст должен раскрыть глаза на всю правду полезности непрофильных дисциплин.","Он говорит о том, что студенты не понимают всей важности всестороннего развития и не хотят тратить время на то, что не пригодится в жизни. Этот текст должен раскрыть глаза на всю правду пользы непрофильных дисциплин.",вжизни,"typo, cause"
211,"6. Затрудняюсь ответить на этот вопрос, но могу предположить, что в процессе интернационализации российские компании несут убытки, из-за разности культур, в какой-то мере недопонимания.","6. Затрудняюсь ответить на этот вопрос, но могу предположить, что в процессе интернационализации российские компании несут убытки из-за разницы культур, в какой-то мере - недопонимания.",разности,"deriv, paron, lex, phrase"
212,"В предложении кроме как является союзом Толковый словарь Ушакова дает предлогу кроме как следующее определение: употребляется как наречие ( без управления падежом), обозначая то же, что кроме в значении исключения Подкрепим примерами из НКРЯ: () Частота употреблений кроме как менялась с течением времени, то возрастая, то убывая, настоящее время частота употреблений возрастает.","В предложении 'кроме как' является союзом. Толковый словарь Ушакова дает предлогу 'кроме как' следующее определение: употребляется как наречие (без управления падежом), обозначая то же, что 'кроме' в значении исключения. Подкрепим примерами из НКРЯ: () Частота употреблений 'кроме как' менялась с течением времени, то возрастая, то убывая, в настоящее время частота употреблений возрастает.",настоящее,"gov, lack"
214,"Данная программа « не умеет » определять квазипословицы, что является основным минусов программы но в тоже время является почвой для дальнейшего исследования.","Данная программа «не умеет» определять квазипословицы, что является основным минусом программы, но в тоже время является почвой для дальнейшего исследования.",минусов,"agr, styl, colloq"
216,"В погоне за благосостоянием многие готовы пойти на преступление, рассориться с родными, пожертвовать своими принципами, преступить через все моральные нормы.","В погоне за благосостоянием многие готовы пойти на преступление, рассориться с родными, пожертвовать своими принципами, преступить все моральные нормы.",через,"gov, lex, phrase, contam"
217,Каждый человек должен быть счастлив тому что родился на этот свет и прожить свою жизнь достойно.,"Каждый человек должен быть счастлив тем, что родился на этом свете, и должен прожить свою жизнь достойно.",тому,"gov, lex, phrase, cause, contam"
218,"Деньги всегда определяли многое в человеческом обществе, но влияние капитала в разных этапах развития человечество было разным.","Деньги всегда определяли многое в человеческом обществе, но влияние капитала на разных этапах развития человечества было разным.",человечество,"gov, cause, typo"
220,"Деньги удерживают человечество от постоянного кровопролития, так как в основе их интересов заложены решения конфликтных ситуации путем поиска консенсуса.","Деньги удерживают человечество от постоянного кровопролития, так как в основе его интересов заложены решения конфликтных ситуаций путем поиска консенсуса.",ситуации,"agr, cause, typo"
221,"Об этом свидетельствует знаменитая фраза А. Онасиса: « Если вам говорят, что дело не в деньгах, значит, это не ваше дело Экономика предполагает дальнейший рост всего материального, экономическое развитие не учитывает обогащение духовной жизни, богатство индивида не входит в законах её развития.","Об этом свидетельствует знаменитая фраза А. Онасиса: «Если вам говорят, что дело не в деньгах, значит, это не ваше дело. Экономика предполагает дальнейший рост всего материального, экономическое развитие не учитывает обогащение духовной жизни, богатство индивида не входит в законы её развития».",законах,"gov, cause, contam"
222,"Выдающиеся мыслители позднего средневековье Т.Мор и Т.Кампанелла, представители французского Просвещения Морелли, Мабли, философы 19-века Фурье, Сен-Симон, Оуэн рисовали идеалистические картины общества, где все имеют равный доступ к орудиям труда и природным ресурсом где труд не подчиняется капиталу.","Выдающиеся мыслители позднего средневековья Т. Мор и Т. Кампанелла, представители французского Просвещения Морелли, Мабли, философы 19-века Фурье, Сен-Симон, Оуэн рисовали идеалистические картины общества, где все имеют равный доступ к орудиям труда и природным ресурсам, где труд не подчиняется капиталу.",средневековье,"agr, cause, typo"
223,"Вместе с тем, я согласен с утверждением специалистов, что люди могут смотреть на один и тот же предмет и видеть его по-разному, точно также они могут и услышать по-разному произнесенные слова.","Вместе с тем я согласен с утверждением специалистов, что люди могут смотреть на один и тот же предмет и видеть его по-разному, точно также они могут и слышать по-разному произнесенные слова.",услышать,"deriv, asp, coord"
224,"Также можно увидеть на бутылках, консервах и так далее, информацю о том, что этот продукт не содержит каких-то вредных ингридиентов, то есть изготовлен по ГОСТ или ТУ, а посмотрев состав продукта узнается что эта информация была ложной.","Также можно увидеть на бутылках, консервах и так далее информацию о том, что этот продукт не содержит каких-то вредных ингридиентов, то есть изготовлен по ГОСТ или ТУ, а посмотрев состав продукта, можно узнать, что эта информация была ложной.",узнается,"ref, converb, voice"
225,"Конечно, важны собранные обеими сторонам улики.","Конечно, важны собранные обеими сторонами улики.",сторонам,"infl, cause, typo"
226,"Помимо этого он интересен своей мистической историей, так как считается центром шаманской культуры, именно здесь шаман набирается силой перед проведением своих обрядов.","Помимо этого, он интересен своей мистической историей, так как считается центром шаманской культуры, именно здесь шаман набирается сил перед проведением своих обрядов.",силой,"gov, cause, contam"
227,"Поэтому отдых на Байкале заряжает каждого своей особой энергией, помогает человеку снова набраться жизненной силой Байкал дарит свою энергию каждому!","Поэтому отдых на Байкале заряжает каждого своей особой энергией, помогает человеку снова набраться жизненной силы. Байкал дарит свою энергию каждому!",силой,"gov, cause, contam"
228,"Звуки: шум от разговаривающих людей свист контролера, мелодия захлопнувшегося турникета, звук работающего эскалатора, сообщение от дежурящего по станции, гул приближающегося поезда, голос, объявляющий станцию, визг недовольной женщины . Запахи: запах метро, смешение запахов людей , приятные свежие духи, пот.","Звуки: шум разговаривающих людей, свист контролера, мелодия захлопнувшегося турникета, звук работающего эскалатора, сообщение от дежурного по станции, гул приближающегося поезда, голос, объявляющий станцию, визг недовольной женщины . Запахи: запах метро, смешение запахов людей, приятные свежие духи, пот.",от,gov
229,"Затем, мы организовываем маршрут по городу, в который включены самые красивейшие и известные фонтаны Рима.","Затем мы организуем экскурсию по городу, в которую включено посещение самых красивых и известных фонтанов Рима.",организовываем,"deriv, asp"
231,Можно поехать в не менее интересное и увлекающее место.,Можно поехать в не менее интересное и увлекательное место.,увлекающее,"deriv, paron, lex, phrase"
232,"Обязательно попробуйте национальный окорок – хамон, настоящий его можно купить только там.","Обязательно попробуйте национальный окорок – хамон, его настоящий образец можно купить только там.",его,"infl, constr"
233,"Аромат свежескошенной травы, бодрящая речная прохлада, таинственный сумрак леса, пение птиц и стрекотание кузнечиков – вот настоящее отдохновение для души и тела – все это поможет восстановится после тяжелого учебного года.","Аромат свежескошенной травы, бодрящая речная прохлада, таинственный сумрак леса, пение птиц и стрекотание кузнечиков – вот настоящий отдых для души и тела – все это поможет восстановиться после тяжелого учебного года.",отдохновение,"deriv, paron, styl"
234,"А самое главное – вас ждут уют и гостеприимность Питание четырехразовое, в стационарном кафе на территории базы отдыха, повара готовят вкусно и по-домашнему.","А самое главное – вас ждут уют и гостеприимство. Питание четырехразовое, в стационарном кафе на территории базы отдыха, повара готовят вкусно и по-домашнему.",гостеприимность,"deriv, paron"
235,"А те, кто оставался, закаляли характер потом и кровью в прямом смысле Через 2 года, каждый из членов Клуба мог положиться на другого как на себя, так как знали что мы испытали вместе.","А те, кто оставался, закаляли характер потом и кровью в прямом смысле. Через 2 года каждый из членов Клуба мог положиться на другого, как на себя, так как знал, что мы испытали вместе.",знали,agr
236,Отсюда и постоянные примеры случаев компьютерной аддикции то есть нездоровым увлечением компьютером и виртуальным миром в частности.,"Отсюда и постоянные примеры случаев компьютерной аддикции, то есть нездорового увлечения компьютером и виртуальным миром в частности.",нездоровым,infl
237,"Дальше слышишь грохот захлопнувшихся дверц турникета, мелодичный звук , свист и крик контролера, который пытается остановить шустрого безбилетника.","Дальше слышишь грохот захлопнувшихся дверец турникета, мелодичный звук, свист и крик контролера, который пытается остановить шустрого безбилетника.",дверц,infl
238,"Однако большинство – это толпа с примерно одинаковым мышлением, которые думают примерно так:« Нашего друга побили, соберемся толпой и искалечим в ответ ».","Однако большинство – это толпа с примерно одинаковым мышлением, которая думает примерно так: «Нашего друга побили, соберемся толпой и искалечим в ответ».",которые,"ref, pron, agr"
239,Месть и есть взятие верха эмоций над разумом.,Месть и есть взятие верха эмоциями над разумом.,эмоций,gov
240,"Пациент должен быть проинформирован о своём состоянии на данный момент и о прогнозе, касающимся продолжительности его жизни;","Пациент должен быть проинформирован о своём состоянии на данный момент и о прогнозе, касающемся продолжительности его жизни;",касающимся,infl
241,"Информативная аннотация Основной идеей, развиваемой в книге Нассима Талеба, является идея о"" Черных лебедях"".Так автор называет события,которые ранее казались невозможными,а сейчас мы можем найти им множество объяснений и предпосылок. Автор убеждает читателя,что такие ""Черные лебеди"" являются крайне важными, переломными событиями.Именно они определяют будущее человечества, пути его развития. По мнению автора, умение правильно анализировать эти события - путь к успешности и благополучию. ","Информативная аннотация: основной идеей, развиваемой в книге Нассима Талеба, является идея о"" Черных лебедях"". Так автор называет события, которые ранее казались невозможными, а сейчас мы можем найти им множество объяснений и предпосылок. Автор убеждает читателя, что такие ""Черные лебеди"" являются крайне важными, переломными событиями. Именно они определяют будущее человечества, пути его развития. По мнению автора, умение правильно анализировать эти события - путь к успеху и благополучию.",успешности,deriv
242,"В связи с материальными проблемами, которые сейчас претерпевает большинство семей, детский труд стал реже подвергаться порицанию, даже, наоборот, в большинстве семей он поддерживается и одобряется родителями, то есть в связи с рыночными отношениями произошла переоценка ценностей и фраза:"" Дети, вы только хорошо учитесь, а зарабатывать деньги - дело родителей"", - перестала более быть актуальной. ","В связи с материальными проблемами, которые сейчас претерпевает большинство семей, детский труд стал реже подвергаться порицанию, даже, наоборот, в большинстве семей он поддерживается и одобряется родителями, то есть в связи с рыночными отношениями произошла переоценка ценностей и фраза: ""Дети, вы только хорошо учитесь, а зарабатывать деньги - дело родителей"", - перестала быть актуальной. ",более,"deriv, lex, word"
243,"Полковник, который на балу, проявлял самые светлые чувства на балу к своей дочери, безусловно, может быть охарактеризован, как человек хороший, однако, в сцене с солдатом, которого наказывали за дезертирство, особей доброжелательностью полковник не отличался, и теперь таки может быть охарактеризован как личность отрицательная.","Полковник, который на балу проявлял самые светлые чувства к своей дочери, безусловно, может быть охарактеризован, как человек хороший, однако в сцене с солдатом, которого наказывали за дезертирство, особой доброжелательностью полковник не отличался и теперь может быть охарактеризован как личность отрицательная.",таки,"deriv, styl, colloq"
244,"Ленин-Ульянов. речи оказывали огромное влияние на слушателей, и он сумел убедить справедливости своих суждений о взаимоотношениях в классовом обществе огромное количество людей и заставить их принять схожую точку зрения.","Ленин-Ульянов. Речи оказывали огромное влияние на слушателей, и он сумел убедить в справедливости своих суждений о взаимоотношениях в классовом обществе огромное количество людей и заставить их принять схожую точку зрения.",убедить,"gov, lack"
245,"Все эти люди, как показывает нам Антон Павлович, сами решали свою судьбу и только они ответственны за собственное моральное падение ( как Чимша-Гималайский, Старцев) или духовное просветление, возвышение ( как Анна Сергеевна и Гуров).","Все эти люди, как показывает нам Антон Павлович, сами решили свою судьбу и только они ответственны за собственное моральное падение (как Чимша-Гималайский, Старцев) или духовное просветление, возвышение (как Анна Сергеевна и Гуров).",решали,asp
246,"Может ли быть, что человек - хозяин свой судьбы и способен сам решать, кто он и откуда?","Может ли быть, что человек - хозяин своей судьбы и способен сам решать, кто он и откуда?",свой,"agr, cause, typo"
247,"Толпа заталкивает тебя в вагон, залитый противный тусклым желтым светов Тебя окружают спины, лица, затылки , куртки, сумки незнакомых людей.","Толпа заталкивает тебя в вагон, залитый противным тусклым желтым светом. Тебя окружают спины, лица, затылки, куртки, сумки незнакомых людей.",противный,gov
248,"Ведь существует целый комплекс отрицательных сторон данной проблемы, начинающийся с опозданий на работу и стрессом испытываемым в пробках, а заканчивающийся авариями на дорогах и затруднением доехать специальным служебным машинам до места происшествия.","Ведь существует целый комплекс отрицательных сторон данной проблемы, начинающийся с опозданий на работу и стресса, испытываемого в пробках, а заканчивающийся авариями на дорогах и затруднением доехать специальным служебным машинам до места происшествия.",стрессом,"gov, cause, contam"
249,"Ниже, представлены пару предложений по улучшению менеджмента для конкретной организации, приведенных мною в своей исследовательской работе: 1. Установление осмысленных стандартов, воспринимаемых сотрудниками - люди должны чувствовать, что стандарты достаточно полно и объективно отражают их работу, помогают организации.","Ниже представлена пара предложений по улучшению менеджмента для конкретной организации, приведенных в данной исследовательской работе: 1. Установление осмысленных стандартов, воспринимаемых сотрудниками, - люди должны чувствовать, что стандарты достаточно полно и объективно отражают их работу, помогают организации.",пару,"infl, styl, colloq"
250,Вывод настоящее время данная проблемы встала очень резко перед всем человечеством.,Вывод: в настоящее время данная проблема возникла очень неожиданно перед всем человечеством.,встала,word
251,"В высшую школы экономики с официальной делегацией прибыли китайские профессора . Они не столько приехали изучать систему образования высшей школе экономике, сколько рассказать о своих обычаях и попробовать понять психологию русских студентов.","В высшую школу экономики с официальной делегацией прибыли китайские профессора . Они приехали не столько для того, чтобы изучить систему образования в высшей школе экономики, сколько для того, чтобы рассказать о своих обычаях и попробовать понять психологию русских студентов.",не столько приехали,coord
252,"Если говорить в целом о истории Уханьского университета, то она ведет свое начало с 1893 года, не то чтобы он свои возрастом превосходит высшую школу экономики, а это наоборот подчеркивает ее превосходство, так как за такое малое время существования она достигла уровня, как и этот древнейший университет.","Если говорить в целом об истории Уханьского университета, то она берёт свое начало в 1893 году, не то, чтобы он из-за своего возраста превосходит высшую школу экономики, но это наоборот подчеркивает ее превосходство, так как за такое малое время существования она достигла такого же уровня, как и этот древнейший университет.",ведет,phrase
253,И именно умение вести деловые переговоры сыграет эту роль вашем выделении из толпы и поможет пробится на вершину рабочей иерархии.,И именно умение вести деловые переговоры сыграет эту роль в выделении вас из толпы и поможет пробиться на вершину рабочей иерархии.,вашем выделении,constr
254,"Например, люди, которые занимают ведущие позиции в различных кампаниях, а так же политики, обладают хорошей и красивой речью, они могут легко убедить людей, принять ту или иную точку зрения.","Например, люди, которые занимают ведущие позиции в различных компаниях, а также политики, обладают хорошей и красивой речью, они могут легко убедить людей, принять ту или иную точку зрения.",так же,conn
255,"Пролог написан публицистическим стилем, интересным, ярко индивидуальным и метафоричным.","Пролог написан в публицистическом стиле, интересном, ярко индивидуальном и метафоричном.",публицистическим стилем,gov
256,Признаком функционального текста – это нацеленность на широкую публику.,Признак функционального текста – это нацеленность на широкую публику.,Признаком,agr